0.22,337,65.1,61,"Fair"
0.23,369,61.4,66,"Fair"
0.25,563,61.2,55,"Fair"
0.25,361,55.2,64,"Fair"
0.25,1013,54.4,64,"Fair"
0.27,371,66.4,58,"Fair"
0.29,592,64.7,62,"Fair"
0.29,1776,55.8,60,"Fair"
0.31,586,66.6,54,"Fair"
0.32,416,64.8,58,"Fair"
0.343,593,61.7,66,"Fair"
0.31,599,64.6,56,"Fair"
0.32,630,64.5,49,"Fair"
0.33,630,66.7,59,"Fair"
0.3,640,56.3,62,"Fair"
0.3,662,64.5,55,"Fair"
0.33,673,64.4,61,"Fair"
0.35,729,56.3,64,"Fair"
0.33,743,65.5,61,"Fair"
0.3,772,65.2,59,"Fair"
0.3,776,65.4,55,"Fair"
0.3,790,58.6,66,"Fair"
0.3,799,64.5,56,"Fair"
0.3,819,64.4,58,"Fair"
0.3,945,51,67,"Fair"
0.3,496,63.1,58,"Fair"
0.3,1208,60.5,57,"Fair"
0.3,536,64.6,54,"Fair"
0.31,579,56.9,66,"Fair"
0.31,581,55.9,62,"Fair"
0.31,618,64.7,56,"Fair"
0.31,629,65.5,58,"Fair"
0.31,695,64.6,55,"Fair"
0.31,740,63.1,61,"Fair"
0.31,757,56.9,59,"Fair"
0.31,814,54.2,63,"Fair"
0.31,997,54.2,65,"Fair"
0.32,638,64.4,54,"Fair"
0.32,875,62.4,61,"Fair"
0.32,1715,59.6,60,"Fair"
0.33,693,65.7,54,"Fair"
0.33,922,65.1,59,"Fair"
0.34,816,64.7,55,"Fair"
0.34,1012,54,56,"Fair"
0.34,1040,55.2,59,"Fair"
0.34,497,64.5,57,"Fair"
0.34,2160,55.8,62,"Fair"
0.35,738,66.2,61,"Fair"
0.35,738,66.2,58,"Fair"
0.35,1011,54.6,59,"Fair"
0.522,1268,63.8,58,"Good"
0.54,1282,62.6,64,"Good"
0.51,1282,57.6,64,"Good"
0.52,1315,64.3,55,"Good"
0.532,1318,63.9,55,"Good"
0.531,1328,57.8,57,"Good"
0.50,1332,64.1,54,"Good"
0.532,1352,54.3,65,"Good"
0.533,1355,63.1,56,"Good"
0.533,1363,63.8,56,"Good"
0.513,1363,63.8,58,"Good"
0.553,1363,63.8,56,"Good"
0.553,1395,63.4,58,"Good"
0.543,1422,58.6,62,"Good"
0.533,1440,61.2,65,"Good"
0.573,1561,63.5,59,"Good"
0.563,1591,63.8,56,"Good"
0.553,1607,63.7,55,"Good"
0.53,1607,63.4,56,"Good"
0.573,1607,64,55,"Good"
0.53,1624,61.8,62.8,"Good"
0.583,1625,58.4,58,"Good"
0.573,1636,63.8,56,"Good"
0.5993,1688,64.2,56,"Good"
0.583,1727,63.7,55,"Good"
0.53,1734,63.4,55,"Good"
0.503,1769,64.3,58,"Good"
0.583,1775,60.2,56,"Good"
0.533,1776,63.2,56,"Good"
0.523,2281,62.5,65,"Good"
0.524,1112,63.9,54,"Good"
0.514,1131,59.4,65,"Good"
0.534,1154,63.3,57,"Good"
0.514,1163,63.4,56,"Good"
0.544,1163,63.8,54,"Good"
0.534,1249,63.2,57,"Good"
0.524,1250,63.8,54,"Good"
0.554,1263,63.7,57,"Good"
0.554,1292,63.3,56,"Good"
0.564,1292,63.2,56,"Good"
0.5422,1310,63.7,57,"Good"
0.524,1323,57.2,59,"Good"
0.564,1338,63.2,55,"Good"
0.545,1361,63.2,58,"Good"
0.564,1361,63.2,60,"Good"
0.544,1377,59.1,65,"Good"
0.574,1422,63.2,55,"Good"
0.544,1422,63.6,56,"Good"
0.541,1551,63.2,55,"Good"
